"dept","id","year","term","link"
"BZ","577","2007","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_577_2007_Fall.pdf"
"BZ","577","2013","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_577_2013_Fall.pdf"
"BZ","577","2015","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_577_2015_Fall.pdf"
"CS","510","2023","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_510_2023_Spring.pdf"
"CS","514","2023","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_514_2023_Spring.pdf"
"CS","530","2023","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_530_2023_Spring.pdf"
"CS","533","2023","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_533_2023_Fall.pdf"
"CS","540","2023","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_540_2023_Spring.pdf"
"CS","542","2023","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_542_2023_Fall.pdf"
"CS","548","2020","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_548_2020_Spring.pdf"
"CS","553","2022","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_553_2022_Spring.pdf"
"CS","556","2021","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_556_2021_Spring.pdf"
"CS","557","2021","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_557_2021_Spring.pdf"
"CS","559","2020","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_559_2020_Fall.pdf"
"CS","560","2013","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_560_2013_Spring.pdf"
"CS","560","2015","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_560_2015_Fall.pdf"
"CS","580A8","2022","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/CS_580A8_2022_Spring.pdf"
"ECOL","505","2022","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/ECOL_505_2022_Fall.pdf"
"ECOL","620","2020","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/ECOL_620_2020_Spring.pdf"
"ESS","501","2020","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/ESS_501_2020_Fall.pdf"
"ESS","542","2020","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/ESS_542_2020_Spring.pdf"
"ESS","543","2019","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/ESS_543_2019_Fall.pdf"
"ESS","543","2023","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/ESS_543_2023_Fall.pdf"
"ESS","565","2014","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/ESS_565_2014_Fall.pdf"
"ESS","655","2020","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/ESS_655_2020_Fall.pdf"
"F","510","2018","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/F_510_2018_Spring.pdf"
"F","521","2021","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/F_521_2021_Fall.pdf"
"F","524","2019","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/F_524_2019_Spring.pdf"
"F","610","2023","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/F_610_2023_Spring.pdf"
"FW","544","2017","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/FW_544_2017_Fall.pdf"
"FW","605","2020","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/FW_605_2020_Spring.pdf"
"FW","663","2020","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/FW_663_2020_Spring.pdf"
"FW","673","2019","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/FW_673_2019_Fall.pdf"
"MIP","577","2007","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/MIP_577_2007_Fall.pdf"
"MIP","577","2013","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/MIP_577_2013_Fall.pdf"
"MIP","577","2015","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/MIP_577_2015_Fall.pdf"
"NR","512","2018","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/NR_512_2018_Fall.pdf"
"NR","625","2018","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/NR_625_2018_Spring.pdf"
"NR","678","2023","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/NR_678_2023_Spring.pdf"
"RS","532","2021","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/RS_532_2021_Fall.pdf"
"SOCR","500","2017","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/SOCR_500_2017_Spring.pdf"
"STAA","572","2018","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/STAA_572_2018_Fall.pdf"
"STAT","512","2017","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/STAT_512_2017_Spring.pdf"
"STAT","673","2019","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/STAT_673_2019_Fall.pdf"
"STAT","695","2016","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/STAT_695_2016_Spring.pdf"
"STAT","730","2018","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/STAT_730_2018_Spring.pdf"
"STAT","730","2019","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/STAT_730_2019_Spring.pdf"
"STAT","730","2021","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/STAT_730_2021_Spring.pdf"
"STAT","740","2020","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/STAT_740_2020_Fall.pdf"
